Patients who visited the emergency department,N,Rate,95% CI
Total visits for mental disorders,28266,1465,"1,448–1,482"
Total patients with mental disorders,20520,1064,"1,049–1,078"
Patients with 3 or more visits a year,1444,,
Female patients,11985,1276,"1,253–1,299"
Male patients,8524,861,843–880
Patients age 5–9,731,155,144–166
Patients age 10–14,3479,711,687–734
Patients age 15–17,4119,1478,"1,433–1,523"
Patients age 18–24,12191,1769,"1,738–1,801"
Patients residing in urban areas,16186,1002,"986–1,017"
Patients residing in rural/remote areas,3916,1251,"1,212–1,290"
Patients residing in income quintile 1 (lowest income) neighbourhoods,5149,1444,"1,405–1,484"
Patients residing in income quintile 2 neighbourhoods,4207,1200,"1,164–1,236"
Patients residing in income quintile 3 neighbourhoods,3806,1069,"1,035–1,103"
Patients residing in income quintile 4 neighbourhoods,3544,908,879–938
Patients residing in income quintile 5 (highest income) neighbourhoods,3381,776,750–802
Patients residing in Bas-Saint-Laurent Region,441,1123,"1,018–1,228"
Patients residing in Saguenay–Lac-Saint-Jean Region,1008,1712,"1,606–1,817"
Patients residing in Capitale-Nationale Region,2610,1589,"1,528–1,650"
Patients residing in Mauricie et Centre-du-Québec Region,1147,1042,"982–1,103"
Patients residing in Estrie Region,1038,944,"886–1,001"
Patients residing in Montréal Region,4341,922,895–949
Patients residing in Outaouais Region,981,1035,"971–1,100"
Patients residing in Abitibi-Témiscamingue Region,588,1819,"1,672–1,966"
Patients residing in Côte-Nord Region,489,2567,"2,339–2,794"
Patients residing in Nord-du-Québec Region,5,169,21–317
Patients residing in Gaspésie–Îles-de-la-Madeleine Region,377,2504,"2,251–2,757"
Patients residing in Chaudière-Appalaches Region,1131,1193,"1,123–1,262"
Patients residing in Laval Region,885,830,775–884
Patients residing in Lanaudière Region,1133,921,867–974
Patients residing in Laurentides Region,1481,1048,"995–1,102"
Patients residing in Montérégie Region,2698,809,779–840
Patients residing in Nunavik Region,43,781,"548–1,015"
Patients residing in Terres-Cries-de-la-Baie-James Region,40,581,401–761
